                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1799,                 5.8557,                 4.4718,                0.00175,                0.41791,                0.00326,                0.00109,                 3.2279,                 4.6765,                 4.1589,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.2094,                 5.5418,                 4.5765,                0.00171,                0.41791,                0.00593,                0.00155,                 3.2283,                 4.6765,                  4.159,             0.00012614,             0.00012614,             0.00012614
                      3,                  3.303,                 5.5872,                 4.4604,                0.00172,                0.41791,                0.00453,                0.00139,                  3.229,                  4.675,                 4.1591,             0.00017644,             0.00017644,             0.00017644
                      4,                 3.0193,                 5.3509,                 4.3663,                0.00172,                0.41791,                0.00518,                0.00165,                 3.2299,                 4.6742,                 4.1589,              0.0002109,              0.0002109,              0.0002109
                      5,                  3.091,                  5.481,                 4.3445,                0.00173,                0.41791,                0.00644,                0.00199,                 3.2313,                 4.6728,                  4.159,             0.00022952,             0.00022952,             0.00022952
                      6,                 3.0283,                  5.242,                 4.3039,                0.00175,                0.41791,                0.00428,                0.00119,                 3.2341,                 4.6678,                 4.1597,              0.0002323,              0.0002323,              0.0002323
                      7,                 3.0671,                 5.1878,                 4.2714,                0.00175,                0.41791,                0.00385,                0.00113,                 3.2386,                 4.6592,                  4.161,             0.00021924,             0.00021924,             0.00021924
                      8,                 3.1225,                 5.1306,                  4.215,                0.00174,                0.41791,                0.00291,                0.00085,                 3.2444,                 4.6489,                 4.1632,             0.00019034,             0.00019034,             0.00019034
                      9,                 3.0252,                 5.2858,                 4.1928,                0.00173,                0.41791,                0.00279,                0.00088,                 3.2511,                 4.6393,                 4.1658,              0.0001456,              0.0001456,              0.0001456
                     10,                 2.8985,                  5.202,                 4.2454,                0.00172,                0.41791,                0.00274,                 0.0009,                 3.2577,                 4.6317,                 4.1684,              8.502e-05,              8.502e-05,              8.502e-05
