                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2669,                 7.4466,                 4.4747,                0.00198,                0.41791,                0.00753,                 0.0019,                 3.8008,                 6.6078,                 4.1145,                0.00062,                0.00062,                0.00062
                      2,                  3.227,                 7.0694,                 4.3774,                0.00199,                0.41791,                0.00402,                0.00112,                 3.8178,                 6.4784,                  4.119,              0.0011353,              0.0011353,              0.0011353
                      3,                 2.9953,                 6.3428,                 4.2442,                0.00197,                0.41791,                0.00404,                0.00115,                  3.845,                 6.2698,                 4.1306,              0.0015238,              0.0015238,              0.0015238
                      4,                 2.8198,                  6.458,                 3.8084,                0.00197,                0.41791,                0.00504,                0.00133,                 3.8605,                 5.8326,                 4.1366,               0.001406,               0.001406,               0.001406
                      5,                 3.0088,                 6.2253,                 4.0921,                0.00196,                0.41791,                0.00493,                0.00136,                 3.8332,                 5.7176,                 4.1218,               0.001208,               0.001208,               0.001208
                      6,                 2.8014,                 5.9232,                 3.9556,                0.01942,                0.02985,                0.00569,                0.00177,                 3.4893,                 7.1304,                  3.974,                0.00101,                0.00101,                0.00101
                      7,                 2.5212,                 5.3259,                 3.7058,                0.01971,                 0.0597,                0.00685,                0.00228,                 3.4543,                 10.884,                 4.0688,               0.000812,               0.000812,               0.000812
                      8,                 2.9215,                 5.9332,                  3.823,                0.01894,                0.04478,                0.00928,                0.00356,                 3.1722,                 7.4214,                 3.8879,               0.000614,               0.000614,               0.000614
                      9,                 2.8678,                 5.2785,                 3.8157,                0.01379,                0.04478,                0.01228,                0.00392,                 3.1226,                 6.1094,                 3.8687,               0.000416,               0.000416,               0.000416
                     10,                 2.7715,                 5.3968,                  3.853,                0.02884,                0.11169,                 0.0149,                 0.0051,                 2.9904,                 5.8994,                 3.8173,               0.000218,               0.000218,               0.000218
