                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8389,                 4.5883,                 1.7341,                0.74054,                0.34086,                0.36773,                0.20317,                 1.4736,                 3.2872,                 1.5021,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.6235,                 3.9415,                 1.5875,                0.46945,                0.44776,                0.39132,                0.18911,                 1.6068,                 3.0113,                 1.5648,              0.0011919,              0.0011919,              0.0011919
                      3,                 1.5494,                   3.73,                 1.5751,                0.71251,                0.37313,                0.49282,                 0.1942,                 1.7425,                 2.9432,                 1.6842,              0.0015956,              0.0015956,              0.0015956
                      4,                 1.6648,                 3.4043,                 1.6713,                0.71835,                0.46269,                 0.5689,                0.29404,                  1.654,                 3.0019,                 1.7288,               0.001406,               0.001406,               0.001406
                      5,                 1.5027,                 3.2598,                 1.4194,                0.59139,                0.64179,                0.63961,                0.34533,                  1.531,                 2.5715,                 1.4951,               0.001208,               0.001208,               0.001208
                      6,                 1.5696,                 3.0952,                 1.5109,                0.49385,                0.62687,                0.56608,                0.26015,                 1.6855,                 2.9909,                 1.6221,                0.00101,                0.00101,                0.00101
                      7,                 1.4909,                 3.0385,                 1.4227,                0.52081,                0.66513,                0.64017,                 0.3574,                 1.4858,                 3.1312,                 1.5393,               0.000812,               0.000812,               0.000812
                      8,                 1.4858,                 3.0742,                 1.4285,                0.84994,                0.53731,                0.69962,                0.39715,                 1.4639,                 2.7746,                  1.506,               0.000614,               0.000614,               0.000614
                      9,                 1.4321,                 2.8045,                 1.3968,                  0.924,                0.64179,                0.79945,                0.46728,                  1.405,                 2.2592,                 1.4426,               0.000416,               0.000416,               0.000416
                     10,                 1.4312,                 2.6775,                 1.3873,                0.84478,                0.68657,                0.82218,                0.47818,                 1.4103,                 2.2184,                 1.4422,               0.000218,               0.000218,               0.000218
